718 1 3
506 1 3
393 1 3
461 1 1
332 1 1
660 1 3
438 1 1
-1 -1 4
-1 -1 2
655 1 3
489 1 1
765 1 3
-1 -1 2
598 1 4
593 1 1
837 1 3
698 1 3
630 1 3
625 1 3
615 1 3
649 1 3
601 1 1
614 1 3
420 1 1
634 1 1
-1 -1 4
472 1 1
716 1 3
-1 -1 4
549 1 1
453 1 1
416 1 1
-1 -1 2
521 1 1
526 1 1
537 1 1
589 1 3
588 1 1
479 1 1
831 1 3
525 1 1
1005 1 3
563 1 1
557 1 3
-1 -1 2
531 1 1
860 1 3
624 1 3
531 1 1
535 1 3
-1 -1 4
-1 -1 4
-1 -1 4
-1 -1 2
-1 -1 2
522 1 4
-1 -1 2
831 1 3
619 1 1
-1 -1 4
-1 -1 2
-1 -1 4
603 1 1
1158 1 3
-1 -1 2
-1 -1 4
-1 -1 4
-1 -1 4
-1 -1 4
-1 -1 4
-1 -1 4
-1 -1 2
-1 -1 4
-1 -1 2
-1 -1 2
750 1 3
-1 -1 2
-1 -1 4
847 1 3
-1 -1 2
-1 -1 2
-1 -1 2
459 1 1
-1 -1 2
-1 -1 2
-1 -1 2
-1 -1 4
-1 -1 2
-1 -1 2
-1 -1 4
-1 -1 2
-1 -1 4
-1 -1 2
-1 -1 4
559 1 1
-1 -1 2
-1 -1 4
-1 -1 4
-1 -1 2
-1 -1 4
-1 -1 2
797 1 3
-1 -1 4
518 1 1
679 1 3
554 1 1
-1 -1 2
431 1 1
809 1 3
559 1 1
727 1 3
615 1 3
467 1 1
405 1 1
526 1 1
742 1 3
584 1 3
518 1 1
354 1 1
648 1 3
-1 -1 2
581 1 3
585 1 1
396 1 1
640 1 3
465 1 3
425 1 1
539 1 3
404 1 1
609 1 3
492 1 3
-1 -1 2
409 1 1
667 1 3
-1 -1 4
540 1 1
631 1 3
585 1 1
486 1 1
403 1 1
731 1 3
-1 -1 4
452 1 1
-1 -1 3
578 1 1
-1 -1 4
582 1 3
398 1 1
556 1 3
452 1 3
406 1 1
-1 -1 4
601 1 3
-1 -1 2
-1 -1 4
-1 -1 2
440 1 1
-1 -1 2
-1 -1 4
-1 -1 2
-1 -1 4
-1 -1 4
-1 -1 2
-1 -1 2
-1 -1 2
-1 -1 4
-1 -1 4
-1 -1 2
-1 -1 2
-1 -1 4
458 1 1
-1 -1 4
-1 -1 2
-1 -1 2
-1 -1 4
-1 -1 4
-1 -1 2
-1 -1 4
-1 -1 2
-1 -1 4
-1 -1 4
473 1 1
-1 -1 2
-1 -1 4
564 1 3
-1 -1 2
-1 -1 4
-1 -1 2
-1 -1 2
-1 -1 2
-1 -1 4
854 1 3
-1 -1 2
-1 -1 4
-1 -1 2
606 1 3
-1 -1 4
-1 -1 2
-1 -1 4
-1 -1 4
497 1 1
-1 -1 1
502 1 1
-1 -1 2
624 1 3
642 1 3
484 1 1
-1 -1 4
587 1 3
-1 -1 2
438 1 3
668 1 1
-1 -1 2
663 1 3
603 1 3
439 1 3
-1 -1 2
510 1 3
535 1 1
701 1 3
-1 -1 4
403 1 3
504 1 1
670 1 3
-1 -1 4
618 1 3
561 1 3
464 1 1
448 1 1
487 1 1
430 1 1
1015 1 3
426 1 1
-1 -1 4
533 1 3
376 1 1
339 1 1
306 1 1
694 1 3
431 1 1
372 1 1
524 1 3
387 1 1
598 1 3
473 1 3
380 1 3
420 1 1
362 1 1
366 1 1
616 1 3
-1 -1 2
-1 -1 2
-1 -1 2
447 1 1
-1 -1 4
-1 -1 4
-1 -1 2
582 1 3
-1 -1 4
406 1 1
-1 -1 4
429 1 2
462 1 1
-1 -1 4
-1 -1 4
-1 -1 4
400 1 1
-1 -1 4
-1 -1 2
-1 -1 4
583 1 3
-1 -1 4
-1 -1 2
-1 -1 4
651 1 3
-1 -1 4
-1 -1 4
431 1 2
-1 -1 2
-1 -1 2
-1 -1 2
-1 -1 4
-1 -1 2
722 1 3
-1 -1 4
-1 -1 2
-1 -1 2
-1 -1 2
-1 -1 4
-1 -1 2
-1 -1 2
-1 -1 4
-1 -1 2
-1 -1 4
-1 -1 4
-1 -1 4
-1 -1 2
-1 -1 2
-1 -1 2
-1 -1 4
679 1 1
848 1 3
645 1 1
604 1 3
484 1 1
668 1 3
502 1 3
480 1 3
424 1 3
508 1 1
-1 -1 4
657 1 3
606 1 3
564 1 3
-1 -1 2
484 1 1
588 1 3
606 1 3
-1 -1 4
-1 -1 2
-1 -1 4
683 1 3
553 1 3
437 1 2
503 1 1
-1 -1 4
672 1 3
596 1 1
601 1 3
485 1 1
